28,7426393,78240,13548,705
24,494203,2651,1309,0
24,142819,13119,151,1141
1,1580028,65729,1529,3598
26,40592,5019,57,490
24,317696,9449,135,464
26,479291,23935,638,1941
17,10532409,384841,7547,23849
22,65453,2761,33,223
10,751743,42272,358,3250
23,1121715,65988,591,51025
24,199102,14916,324,1098
10,1024398,61352,967,4097
26,483360,16251,245,1588
27,601419,19564,658,2510
17,185541,12172,114,827
10,814262,66290,3557,5546
22,169898,5470,362,490
25,1691734,39633,1775,5191
1,917746,25455,731,1073
24,40884,1126,15,131
22,125196,5388,46,418
27,162818,9523,416,1079
26,1936216,74528,1059,6552
1,22668,62,0,27
24,1701667,53795,8517,36290
22,35536,2094,40,415
26,189389,15787,104,2479
17,369541,7658,469,1887
24,4659935,17509,2542,2157
22,153427,8915,91,1080
26,109101,4209,109,462
22,4615562,104889,2180,11355
23,379393,14093,323,1338
24,274358,9213,476,838
1,218536,10659,432,1424
24,2524251,17100,676,5311
20,463425,26446,8020,12806
17,3263,108,2,7
25,182142,4041,820,3267
22,82601,5311,67,1662
25,136677,490,206,1841
10,214126,9278,139,349
22,807265,26518,522,5996
26,141937,9886,130,1224
26,58169,1906,73,198
26,315091,19533,204,3172
10,503585,41072,362,3399
1,498126,6298,112,789
27,330727,18020,112,1017
22,324532,6060,72,252
22,141356,9465,55,956
24,162018,2566,72,0
24,703750,2921,2196,1042
26,246389,15307,247,1842
24,331993,14276,626,1927
10,265337,3986,197,252
22,1560006,190937,793,19925
24,452338,6684,298,587
17,121447,1302,102,512
26,119670,3821,73,377
26,12393,761,6,45
27,230701,11767,184,1519
20,1023353,22255,264,3209
10,228731,9743,292,1119
10,127097,1068,61,260
24,157166,19869,77,2027
26,1617120,83410,1014,7114
26,61781,2543,58,267
24,1152639,45401,4310,5708
24,273962,3105,129,594
20,3576396,155585,6168,6702
26,412117,16287,748,2254
1,39245,2376,103,479
26,27794,1690,34,174
26,185984,6155,129,320
17,688485,6543,509,350
24,50058,3299,14,241
24,76714,5830,47,337
1,355492,4811,363,1478
27,506525,13349,463,1492
17,496166,8235,450,1098
28,352276,13098,508,1297
25,1769256,8048,2123,3359
2,659654,3964,712,278
26,1006825,57541,570,3333
24,787961,17140,1054,5521
24,236805,4631,67,201
17,43179,196,14,183
20,94048,5982,67,699
17,991790,47532,626,2006
26,5042942,183473,16578,19443
24,1683617,15347,690,887
25,77753,805,82,636
17,1598,0,0,0
17,266862,5496,74,300
10,13721029,468496,6596,20989
17,47756,393,157,144
24,1307367,19733,984,3029
24,538100,15693,234,1962
10,76410,2193,17,156
17,166386,6301,67,502
24,14268,80,5,9
20,59288,839,102,179
24,1811958,133815,5380,23181
15,163175,3337,111,447
17,5951,63,8,73
28,387841,12097,458,1771
15,2384126,50006,1918,6584
10,699671,49246,995,4863
10,36297533,1431489,28044,100632
22,413246,17086,338,1587
17,2594,100,2,17
28,1244984,29748,2639,4112
29,104920,268,60,6
17,67151,264,18,33
26,406279,20499,516,6361
17,131005,859,867,532
17,25343,167,17,42
22,952919,17703,3207,0
23,288535,4772,159,397
24,97368,335,11,56
23,614608,49441,1986,3970
22,463276,19286,393,2304
26,299228,16290,155,901
22,241329,12247,203,1013
22,3970592,154729,1972,7476
22,61565,1039,14,471
1,738448,8415,199,949
23,1884820,55235,1132,3279
23,1834397,45754,1406,10764
25,1101502,4117,993,2358
26,108797,3677,107,732
28,626419,20553,1033,2138
10,3026138,76495,2880,6414
23,2217,14,1,7
1,104056,16458,32,1263
10,1851397,24773,2844,2242
10,3994782,291371,11625,24235
10,204310,19566,57,1727
10,737567,10261,802,1232
24,713480,24229,673,2204
26,2450950,176104,1017,6257
17,57819,682,29,147
26,599742,29851,299,453
24,1655312,23960,455,2777
22,220053,6740,853,1455
10,657439,24309,390,1783
